Year,Company,Country,ICB3 long,R&D (€million),R&D one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Net sales (€million),Net sales one-year growth (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,"AMADEUS IT GROUP, S.A.",Spain,Software & Computer Services,1333.2,19.5051989960559,21.707344871941,72.7,18.9852700490998,1.18371135027761,1833.83768913342,6141.7,12.8739983827097,1627.6,15.1142230709385,26.5008059657749,30724.044406186,5.1171390804125,20643.0,10.8111009716034
2024,DASSAULT SYSTEMES,France,Software & Computer Services,1286.2,4.7138321257022,20.6997553753058,193.4,33.1039229181005,3.1125273593408,665.046535677353,6213.6,4.40568605706222,1371.8,14.6894072401973,22.0773786532767,44837.5846605,-24.1555946999513,25000.0,4.99349040359498
2024,UBISOFT ENTERTAINMENT,France,Software & Computer Services,1205.7,-0.091150149154782,63.4846251053075,29.0,5.45454545454545,1.52695871946083,4157.58620689655,1899.2,-17.4583858490156,-30.1,-109.374026782934,-1.58487784330244,1459.108255542,-41.3047326797374,18540.0,-4.76679679474009
2024,AMS-OSRAM AG,Austria,Technology Hardware & Equipment,477.0,-19.0152801358234,13.9148191365228,502.0,-52.1448999046711,14.6441073512252,95.0199203187251,3428.0,-4.5125348189415,-555.0,-62.3728813559322,-16.1901983663944,631.206807833627,1.04746808381018,19665.0,-3.49887133182844
2024,ASM INTERNATIONAL NV,Netherlands,Technology Hardware & Equipment,469.812,14.521255850234,16.0196458991709,167.895,8.94985821171554,5.72488239602499,279.824890556598,2932.724,11.3270883575375,802.629,22.7747686010209,27.3680373604881,27564.792020245,18.6656990243722,4558.0,0.352267723469837
2024,INDRA SISTEMAS S.A.,Spain,Software & Computer Services,402.151,3.01183679010639,8.30400319480835,23.562,2.49695493300853,0.486530987803274,1706.77786266022,4842.857,11.5076379115981,438.565,41.335348580894,9.05591472141341,3017.257172682,21.9999994550296,60907.0,5.45753614405679
2024,LEGRAND,France,Electronic & Electrical Equipment,386.8,6.8213200773267,4.47224502537895,210.3,-5.48314606741573,2.43152308386038,183.927722301474,8648.9,2.75635922964512,1642.7,3.21060567981906,18.993166761091,24661.588971413,-0.739596125607017,34901.0,2.92244175759363
2024,ELASTIC N.V.,Netherlands,Software & Computer Services,352.062758687073,7.39709777253162,24.6584633141329,4.18230821060737,25.9420289855071,0.292928720902638,8417.90563866514,1427.75628068149,17.0418544315137,-52.648955626143,-56.2371484578151,-3.68753101201648,9059.85280192004,70.3830867639137,3537.0,10.9821148415438
2024,TOMTOM N.V.,Netherlands,Electronic & Electrical Equipment,340.157,2.49953293839004,59.2213892496631,5.576,-52.9729273846673,0.970782510593995,6100.37661406026,574.382,-1.77474519460976,-20.29,1.4094362255098,-3.53249231347779,623.74997139,-26.1975172902611,3621.0,-2.05572085474709
2024,WISETECH GLOBAL LIMITED,Austria,Software & Computer Services,335.857381349869,42.2115627366829,54.0750695977729,14.9057953732411,-8.08823529411755,2.39992320245752,2253.2,621.094681612211,27.5342801175318,226.985451943716,26.7732267732271,36.5460305270232,18691.3640424248,31.0987008474299,3494.0,15.4659616655651
2024,SARTORIUS AG,Germany,Electronic & Electrical Equipment,296.6,9.40612320177056,8.77333096695951,409.9,-26.7643380382348,12.1247079007306,72.3591119785314,3380.7,-0.441735135612687,385.0,-24.8340491995314,11.388174046795,8090.784228516,-35.2218218975501,13528.0,-7.43123032708362
2024,COMPUGROUP MEDICAL SE & CO KGAA,Germany,Software & Computer Services,255.062,1.14925207404706,22.102675333431,24.805,30.7384177515417,2.14950428384375,1028.26849425519,1153.987,-2.83548447665709,100.633,-9.72432786414648,8.72046218891547,1172.488431922,-42.3970457244867,8712.0,-5.29405370148929
2024,GN STORE NORD A/S,Denmark,Technology Hardware & Equipment,244.576148462013,5.92334494773516,10.1417848206839,16.0905360830272,29.0322580645159,0.66722268557131,1520.0,2411.5690954437,-0.745033112582544,239.748987637105,122.388059701493,9.94161801501251,2720.01636908248,-21.7592057428522,7347.0,2.54012561060712
2024,NEMETSCHEK SE,Germany,Software & Computer Services,213.892,6.08038406602126,21.4844836851436,13.726,8.27482842943915,1.37871459924766,1558.29812035553,995.565,16.9103166765113,240.957,15.3975460475274,24.203040484549,10816.575176239,19.2993650011195,3894.0,13.5608048993876
2024,OVH GROUPE SA,France,Software & Computer Services,152.0,9.74729241877256,15.306333096018,343.106,-4.10595952453487,34.5506231792261,44.3011780615903,993.053,10.6713592682038,34.609,-388.528553563985,3.48511106657953,1174.399307662,-34.2567935447825,2953.0,2.53472222222222
2024,SINCH AB,Sweden,Software & Computer Services,149.14041364866,32.5833979829324,5.95221510169962,16.668121127498,-9.47867298578214,0.665227082752855,894.764397905758,2505.6287634174,-0.114802574360668,-510.603019460686,-961.708394698086,-20.3782390638061,1527.76623594984,-42.8293920371611,4077.0,-3.63980146537462
2024,AT&S AUSTRIA TECHNOLOGIE & SYSTEMTECHNIK AG,Austria,Electronic & Electrical Equipment,137.114,-11.7931628990132,8.62555091574999,416.057,-51.5531718427417,26.1732633965474,32.955580605542,1589.626,2.57114078846081,224.218,7287.74299835255,14.1050788047,502.718983698,-33.1266184739737,13828.0,0.963785046728972
