provider_name,country,provided_name,share_provided,year
Hoson,CHN,Bonding tools,2.1,2024
Hoson,CHN,Die attaching tools,3.5,2024
Hoson,CHN,Linear and discrete testing tools,7.2,2024
Hwatsing,CHN,CMP tools (adv. pkg.),6.7,2024
Hwatsing,CHN,CMP tools,9.1,2024
IMS Nanofabrication,AUT,Lithography tools,1.5,2024
IMS Nanofabrication,AUT,Mask exposure systems - e-beam,46.4,2024
Incal Technology,USA,Burn-in test tools,2.6,2024
Innogrity,SGP,Handlers and probers,1.1,2024
Iwashita Engineering,JPN,Other interconnect tools,10.2,2024
JEOL,JPN,Direct write systems,67.2,2024
JEOL,JPN,Mask exposure systems - e-beam,15.0,2024
JT Corp.,KOR,Handlers and probers,1.5,2024
Jingsheng Electromechanical,CHN,Other deposition tools (non-IC),3.2,2024
Jusung Engineering,KOR,Other deposition tools (non-IC),1.8,2024
Jusung Engineering,KOR,Atomic layer deposition tools,3.3,2024
KBTEM,BLR,Manual wire bonders,6.8,2024
KCTech,KOR,CMP tools,1.5,2024
KES Systems,USA,Burn-in test tools,1.7,2024
KLA,USA,Dry etching tools (adv. pkg.),9.8,2024
KLA,USA,Dry etch tools,1.2,2024
KLA,USA,Fabrication tools (for advanced packaging),9.1,2024
KLA,USA,CVD tools (adv. pkg.),1.7,2024
KLA,USA,PVD tools (adv. pkg.),7.9,2024
KLA,USA,Overlay metrology tools,54.2,2024
KLA,USA,E-beam metrology tools,11.9,2024
KLA,USA,Defect review stations,24.2,2024
KLA,USA,Deposition tools (adv. pkg.),3.8,2024
KLA,USA,Etch and clean tools (adv. pkg.),6.6,2024
KLA,USA,Other deposition tools (non-IC),7.3,2024
KLA,USA,Dry etching and cleaning tools,1.2,2024
KLA,USA,Conductor etching tools,1.4,2024
KLA,USA,Process control tools,57.2,2024
KLA,USA,Photomask inspection and repair tools,40.7,2024
KLA,USA,Inspection tools (adv. pkg.),39.7,2024
KLA,USA,"Film, stack, and shape metrology tools",47.0,2024
KLA,USA,Defect inspection tools,84.6,2024
KLA,USA,Assembly inspection tools,47.7,2024
KOSES,KOR,Other interconnect tools,2.9,2024
Keithley Instruments,USA,Process monitoring tools,31.4,2024
Keysight Tech,USA,Process monitoring tools,68.6,2024
Kingsemi,CHN,Resist processing tools (adv. pkg.),2.0,2024
Kingsemi,CHN,Lithography tools (adv. pkg.),1.6,2024
Koh Young Tech,KOR,Assembly inspection tools,4.7,2024
Kokusai,JPN,Plasma modification tools,5.7,2024
Kokusai,JPN,CVD tools (adv. pkg.),6.7,2024
Kokusai,JPN,Deposition tools,3.8,2024
Kokusai,JPN,Atomic layer deposition tools,9.4,2024
Kokusai,JPN,Rapid thermal processing tools,2.4,2024
Kokusai,JPN,Tube-based diffusion and deposition tools,23.7,2024
Kokusai,JPN,Dry stripping tools,27.2,2024
Kulicke & Soffa,SGP,Die attaching tools for IC,3.1,2024
Kulicke & Soffa,SGP,Auto ball bonders for IC,86.1,2024
Kulicke & Soffa,SGP,Auto ball bonders for non-IC,47.9,2024
Kulicke & Soffa,SGP,Automatic wedge bonders,54.4,2024
Kulicke & Soffa,SGP,Wafer level stud bonders,1.1,2024
Kulicke & Soffa,SGP,Bonding tools,21.9,2024
Kulicke & Soffa,SGP,Die attaching tools,2.5,2024
Kulicke & Soffa,SGP,Wire bonding tools,66.0,2024
Kulicke & Soffa,SGP,Other interconnect tools,4.6,2024
Lam Research,USA,Dry etching tools (adv. pkg.),49.0,2024
Lam Research,USA,Dry clean tools,59.3,2024
Lam Research,USA,Dry etch tools,38.7,2024
Lam Research,USA,Fabrication tools (for advanced packaging),20.4,2024
Lam Research,USA,CVD tools (adv. pkg.),10.7,2024
Lam Research,USA,ECP tools (adv. pkg.),68.4,2024
Lam Research,USA,Single wafer spin & spray systems (adv. pkg.),9.4,2024
Lam Research,USA,Deposition tools (adv. pkg.),29.4,2024
Lam Research,USA,Etch and clean tools (adv. pkg.),36.1,2024
Lam Research,USA,Resist processing tools,1.1,2024
Lam Research,USA,Deposition tools,14.5,2024
Lam Research,USA,Plasma CVD tools,27.7,2024
Lam Research,USA,Low-pressure CVD tools,36.9,2024
Lam Research,USA,Atomic layer deposition tools,11.0,2024
Lam Research,USA,Electrochemical plating tools,99.8,2024
Lam Research,USA,Chemical vapor deposition tools,25.2,2024
Lam Research,USA,Dry etching and cleaning tools,38.6,2024
Lam Research,USA,Wet etching and cleaning tools,17.5,2024
Lam Research,USA,Conductor etching tools,48.8,2024
Lam Research,USA,Insulator etching tools,25.9,2024
Lam Research,USA,Dry stripping tools,8.1,2024
Lam Research,USA,Etch and clean tools,32.7,2024
Lasertec,JPN,Process control tools,7.7,2024
Lasertec,JPN,Photomask inspection and repair tools,45.6,2024
Lasertec,JPN,Defect inspection tools,1.2,2024
MIRTEC,KOR,Assembly inspection tools,4.1,2024
Manufacturing Integration Tech,SGP,Assembly inspection tools,1.1,2024
Mattson Tech,CHN,Rapid thermal processing tools,3.8,2024
Mattson Tech,CHN,Dry stripping tools,28.0,2024
Micro Control,USA,Burn-in test tools,5.4,2024
Minami,JPN,Other interconnect tools,1.6,2024
MingSeal,CHN,Other interconnect tools,8.4,2024
Muehlbauer,DEU,Assembly inspection tools,2.2,2024
Muratec,JPN,Wafer handlers,30.1,2024
Muratec,JPN,Photomask handlers,81.0,2024
Muratec,JPN,Wafer and photomask handlers,32.2,2024
Musashi Engineering,JPN,Bonding tools,1.7,2024
Musashi Engineering,JPN,Other interconnect tools,18.1,2024
Mycronic,SWE,Mask exposure systems - laser beam,37.3,2024
NAURA,CHN,Dry etching tools (adv. pkg.),8.4,2024
NAURA,CHN,Dry etch tools,4.9,2024
NAURA,CHN,Fabrication tools (for advanced packaging),4.1,2024
NAURA,CHN,CVD tools (adv. pkg.),19.1,2024
NAURA,CHN,PVD tools (adv. pkg.),8.8,2024
NAURA,CHN,Deposition tools (adv. pkg.),6.7,2024
NAURA,CHN,Etch and clean tools (adv. pkg.),5.7,2024
NAURA,CHN,Other deposition tools (non-IC),18.3,2024
NAURA,CHN,Deposition tools,4.9,2024
NAURA,CHN,Plasma CVD tools,1.6,2024
