provider_name,provided_name,share_provided,year
GBR,High-temperature CVD tools,1.3,2024
GBR,Atomic layer deposition tools,0.1,2024
GBR,Chemical vapor deposition tools,0.2,2024
GBR,Dry etching and cleaning tools,0.1,2024
GBR,Misc. dry etch tools,3.7,2024
GBR,Etch and clean tools,0.1,2024
Genesem,Packaging tools,1.5,2024
GigaLane,Imprint lithography,7.2,2024
GigaLane,Misc. dry etch tools,5.0,2024
Graco,Other interconnect tools,2.4,2024
Grand Process,Single wafer spin & spray systems (adv. pkg.),2.1,2024
Grand Process,Dry stripping tools,1.6,2024
Grohmann,Integrated assembly tools,2.2,2024
Gudeng,Photomask handlers,8.3,2024
HANMI,Die attaching tools for IC,12.9,2024
HANMI,Bonding tools,6.2,2024
HANMI,Die attaching tools,10.4,2024
HANMI,Packaging tools,6.8,2024
HUN,Process control tools,0.5,2024
HUN,"Film, stack, and shape metrology tools",2.8,2024
Hangzhou Changchuan Technology,Test tools,4.1,2024
Hangzhou Changchuan Technology,SoC test tools,4.3,2024
Hangzhou Changchuan Technology,Burn-in test tools,9.1,2024
Hangzhou Changchuan Technology,Linear and discrete testing tools,24.6,2024
Hangzhou Changchuan Technology,Handlers and probers,7.6,2024
Hanwha Precision Machinery,Die attaching tools for IC,1.2,2024
Heidelberg Instruments,Mask exposure systems - laser beam,1.3,2024
Hesse,Automatic wedge bonders,15.6,2024
Hesse,Bonding tools,1.2,2024
Hesse,Wire bonding tools,3.9,2024
Hitachi,Dry etch tools,2.1,2024
Hitachi,Defect review stations,3.8,2024
Hitachi,Dry etching and cleaning tools,2.1,2024
Hitachi,Conductor etching tools,4.0,2024
Hitachi,Etch and clean tools,1.6,2024
Hitachi,Process control tools,5.6,2024
Hitachi,Critical dimensions metrology tools,69.0,2024
Hitachi,Defect inspection tools,2.3,2024
Hon Technologies,Handlers and probers,2.4,2024
Hoson,Die attaching tools for non-IC,17.6,2024
Hoson,Bonding tools,2.1,2024
Hoson,Die attaching tools,3.5,2024
Hoson,Linear and discrete testing tools,7.2,2024
Hwatsing,CMP tools (adv. pkg.),6.7,2024
Hwatsing,CMP tools,9.1,2024
IMS Nanofabrication,Lithography tools,1.5,2024
IMS Nanofabrication,Mask exposure systems - e-beam,46.4,2024
ISR,Fabrication tools (for advanced packaging),2.9,2024
ISR,Process control tools,5.2,2024
ISR,Inspection tools (adv. pkg.),18.6,2024
ISR,"Film, stack, and shape metrology tools",20.6,2024
ISR,Defect inspection tools,3.4,2024
ITA,Test tools,1.1,2024
ITA,SoC test tools,1.4,2024
ITA,Burn-in test tools,5.5,2024
ITA,Handlers and probers,1.6,2024
Incal Technology,Burn-in test tools,2.6,2024
Innogrity,Handlers and probers,1.1,2024
Iwashita Engineering,Other interconnect tools,10.2,2024
JEOL,Direct write systems,67.2,2024
JEOL,Mask exposure systems - e-beam,15.0,2024
JPN,Wafer bonding and aligning tools,39.5,2024
JPN,Dry etch tools,28.9,2024
JPN,Plasma modification tools,11.6,2024
JPN,KrF (DUV) lithography tools,20.8,2024
JPN,i-line lithography tools,53.5,2024
JPN,Direct write systems,67.2,2024
JPN,Fabrication tools (for advanced packaging),15.1,2024
JPN,Wafer handlers,85.6,2024
JPN,CVD tools (adv. pkg.),8.0,2024
JPN,PVD tools (adv. pkg.),7.0,2024
JPN,ECP tools (adv. pkg.),3.4,2024
JPN,Defect review stations,3.8,2024
JPN,Photomask handlers,86.8,2024
JPN,Test tools,56.2,2024
JPN,Resist processing tools (adv. pkg.),80.0,2024
JPN,Mask aligners,5.7,2024
JPN,CMP tools (adv. pkg.),12.5,2024
JPN,Single wafer spin & spray systems (adv. pkg.),76.7,2024
JPN,Lithography tools (adv. pkg.),66.0,2024
JPN,Deposition tools (adv. pkg.),5.7,2024
JPN,Etch and clean tools (adv. pkg.),25.0,2024
JPN,Die attaching tools for IC,16.8,2024
JPN,Die attaching tools for non-IC,10.0,2024
JPN,Auto ball bonders for IC,4.5,2024
JPN,Auto ball bonders for non-IC,5.2,2024
JPN,Automatic wedge bonders,0.8,2024
JPN,Wafer level stud bonders,13.1,2024
JPN,Other deposition tools (non-IC),12.8,2024
JPN,Ion implanters,9.4,2024
JPN,Lithography tools,17.4,2024
JPN,ArF dry (DUV) lithography tools,5.7,2024
JPN,ArF immersion (DUV) lithography tools,1.3,2024
JPN,Mask exposure systems - e-beam,53.6,2024
JPN,Resist processing tools,93.9,2024
JPN,Deposition tools,15.2,2024
JPN,Low-pressure CVD tools,30.5,2024
JPN,Atomic layer deposition tools,25.4,2024
JPN,Physical vapor deposition tools,3.1,2024
JPN,Rapid thermal processing tools,5.7,2024
JPN,Tube-based diffusion and deposition tools,79.9,2024
JPN,Chemical vapor deposition tools,5.8,2024
JPN,Dry etching and cleaning tools,28.6,2024
JPN,Wet etching and cleaning tools,60.0,2024
JPN,Conductor etching tools,6.8,2024
JPN,Insulator etching tools,61.8,2024
JPN,Dry stripping tools,35.4,2024
JPN,Misc. dry etch tools,21.9,2024
JPN,Etch and clean tools,37.7,2024
JPN,Wafer and photomask handlers,85.7,2024
JPN,Process control tools,15.1,2024
JPN,Photomask inspection and repair tools,46.7,2024
JPN,Inspection tools (adv. pkg.),0.1,2024
JPN,"Film, stack, and shape metrology tools",7.8,2024
JPN,Critical dimensions metrology tools,69.2,2024
JPN,Defect inspection tools,4.2,2024
JPN,Dicing tools,94.6,2024
JPN,Bonding tools,13.7,2024
JPN,Die attaching tools,15.5,2024
JPN,Wire bonding tools,4.5,2024
JPN,Other interconnect tools,31.7,2024
JPN,Packaging tools,57.7,2024
JPN,Memory test tools,62.7,2024
JPN,SoC test tools,58.4,2024
JPN,Burn-in test tools,16.1,2024
JPN,Linear and discrete testing tools,9.6,2024
JPN,Handlers and probers,44.5,2024
JPN,CMP tools,28.7,2024
JPN,Crystal machining tools,99.6,2024
JT Corp.,Handlers and probers,1.5,2024
Jingsheng Electromechanical,Other deposition tools (non-IC),3.2,2024
Jusung Engineering,Other deposition tools (non-IC),1.8,2024
Jusung Engineering,Atomic layer deposition tools,3.3,2024
KBTEM,Manual wire bonders,6.8,2024
KCTech,CMP tools,1.5,2024
KES Systems,Burn-in test tools,1.7,2024
KLA,Dry etching tools (adv. pkg.),9.8,2024
KLA,Dry etch tools,1.2,2024
KLA,Fabrication tools (for advanced packaging),9.1,2024
KLA,CVD tools (adv. pkg.),1.7,2024
KLA,PVD tools (adv. pkg.),7.9,2024
KLA,Overlay metrology tools,54.2,2024
KLA,E-beam metrology tools,11.9,2024
KLA,Defect review stations,24.2,2024
KLA,Deposition tools (adv. pkg.),3.8,2024
KLA,Etch and clean tools (adv. pkg.),6.6,2024
