Year,World rank,EU rank,Company,Country,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%)
2024,1512.0,233,ALLEGION PLC,Ireland,IRL,Others,Household Goods & Home Construction,108.480123207238,10.5986261040231,3630.95581865435,3.32529856469828,2.9876464662531,88.6514582731735,9.38242280285028,2.44154604739939,122.366992399565,751.467898739051,10.2060982495766,20.6961454853931,10934.5681243992,2.78285525270572,14400.0,16.1290322580645
2024,1529.0,234,CELLCENTRIC GMBH & CO. KG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,106.92953513,30.543877708087,26.67632704,51.189711457021,400.840546637713,42.64640091,23.315915122623,159.866089683387,250.735191829345,-205.0979334,12.0800544140365,-768.838727657164,,,450.0,22.6158038147139
2024,1550.0,235,LANXESS AG,Germany,DEU,Chemicals,Chemicals,104.0,5.05050505050505,6366.0,-5.18319928507596,1.63367891925856,320.0,-1.84049079754601,5.02670436694942,32.5,-28.0,-95.8083832335329,-0.439836632108074,2023.093905641,-17.0325761505861,12338.0,-3.97696318779672
2024,1567.0,236,COLRUYT GROUP N.V.,Belgium,BEL,Others,General Retailers,102.3,7.91139240506329,10963.4,-1.27865722981613,0.933104693799369,478.7,10.3503918856616,4.3663462064688,21.3703781073741,439.2,-4.99675535366646,4.00605651531459,4730.918604,-13.2431745416927,32418.0,0.981216708718811
2024,1573.0,237,MELEXIS N.V.,Belgium,BEL,ICT producers,Technology Hardware & Equipment,101.646648,3.14125869706589,932.808067,-3.26557124460071,10.8968448704464,52.992655,-42.8929874776599,5.68098163756553,191.812710648296,219.889102,-15.8319800264404,23.5728130768835,2282.6,-38.0821917808219,1941.0,0.517866390471258
2024,1581.0,238,METSO OYJ,Finland,FIN,Industrials,Industrial Engineering,101.0,65.5737704918033,4863.0,-15.3819384026449,2.07690725889369,188.0,10.5882352941176,3.86592638289122,53.7234042553192,751.0,-7.9656862745098,15.443142093358,7444.172131727,-2.07197963442482,17081.0,0.713443396226415
2024,1590.0,239,ANDRITZ AG,Austria,AUT,Industrials,Industrial Engineering,100.2,-5.91549295774648,8313.7,-3.99884526558891,1.20523954436653,179.5,5.09367681498828,2.15908680852087,55.8217270194986,619.1,-5.08968266135213,7.44674453011295,5093.919952393,-13.1560315299468,30003.0,0.962412087357405
2024,1593.0,240,OUTSYSTEMS HOLDINGS S.A.,Portugal,PRT,ICT services,Software & Computer Services,100.092,-15.3448640419504,500.078,16.4171460364981,20.0152776166918,0.797,50.6616257088847,0.159375137478553,12558.5947302384,31.016,-160.094551654654,6.20223245173753,,,1727.0,-7.9914757591902
2024,1599.0,241,PHARMA MAR S.A.,Spain,ESP,Health industries,Pharmaceuticals & Biotechnology,99.695,2.77729095576333,174.855,10.560659614424,57.0158131022848,15.015,-5.89746803710202,8.58711503817449,663.969363969364,3.898,-180.770824699544,2.22927568556804,1464.721634615,94.2551107469282,500.0,-1.76817288801572
2024,1601.0,242,BOLIDEN AB,Sweden,SWE,Industrials,Mining,99.6596561654595,-8.5668534827865,7784.8852430404,13.5613717951981,1.28016859663479,1306.04764813684,-2.94422827496729,16.7767103478427,7.6306294267005,1172.4408761672,66.3159197821236,15.0604773168024,7411.2511124981,-1.27150142733523,5808.0,2.54237288135593
2024,1605.0,243,ALMIRALL S.A,Spain,ESP,Health industries,Pharmaceuticals & Biotechnology,99.359,30.866392708498,985.721,10.1960166168073,10.0798298910138,29.835,-10.9376399295501,3.0267185136565,333.028322440087,32.592,-931.216526396327,3.30641226067011,1757.914819441,-0.352995655498903,1885.0,-0.997899159663865
2024,1622.0,244,PHARVARIS N.V.,Netherlands,NLD,Health industries,Pharmaceuticals & Biotechnology,98.563529,50.3064947130028,0.0,,,0.538086,497.979640825036,,18317.4304850897,-145.688167,50.3278558782553,,964.870354220654,-7.25560275043738,108.0,31.7073170731707
2024,1637.0,245,WACKER NEUSON SE,Germany,DEU,Industrials,Industrial Engineering,97.4,0.515995872033024,2234.9,-15.819804889073,4.35813682938834,61.9,-52.015503875969,2.7696988679583,157.35056542811,121.3,-52.3191823899371,5.42753590764687,1031.057986622,-18.9636146423741,6004.0,-8.73993008055935
2024,1640.0,246,QUADIENT SA,France,FRA,ICT producers,Technology Hardware & Equipment,97.2,1.03950103950104,1097.9,2.55955161139655,8.85326532471081,59.6,14.8362235067437,5.42854540486383,163.087248322148,137.8,-2.88935870331219,12.5512341743328,628.712946991,-7.03364428677445,4680.0,-0.86846007201864
2024,1643.0,247,BRAINLAB AG,Germany,DEU,Health industries,Health Care Equipment & Services,96.932,20.4019526252376,429.228,17.8229970436372,22.5828697102705,8.302,0.362669245647961,1.93417018461051,1167.57407853529,17.338,-344.679650014112,4.03934505670646,,,2266.0,6.28517823639775
2024,1664.0,248,ZUIVELCOOPERATIE FRIESLANDCAMPINA U.A.,Netherlands,NLD,Others,Food Producers,95.0,-5.94059405940594,12923.0,-1.13984088127295,0.735123423353711,450.0,-9.2741935483871,3.48216358430705,21.1111111111111,490.0,562.162162162162,3.79168923624545,,,19576.0,-6.46024464831804
2024,1667.0,249,VATTENFALL AB,Sweden,SWE,Energy,Electricity,94.5981324722925,44.1489361702127,21430.3167815691,-15.3697168536846,0.441421997801034,2520.11519329784,-27.2429518026758,11.7595797532271,3.75372255696378,2582.24976001396,74.1510211288325,12.0495174491998,,,20662.0,-1.5860919266492
2024,1673.0,250,BITDEFENDER HOLDING B.V.,Romania,ROM,ICT services,Software & Computer Services,93.8069111560304,21.4919716764734,418.182693233227,10.8485932472808,22.4320405109909,8.04408508999904,129.084429824561,1.92358153987801,1166.16010530094,57.2413129271345,21.9131183514323,13.688111405225,,,2061.0,6.12770339855819
2024,1676.0,251,PAUL HARTMANN AG,Germany,DEU,Health industries,Health Care Equipment & Services,93.5,9.87074030552292,2407.917,2.3225208242856,3.88302420722973,138.601,22.5440527660628,5.7560538839171,67.459830737152,142.461,137.020214624407,5.91635841268615,785.93328,6.79611650485436,10079.0,-0.875295043273013
2024,1682.0,252,PALFINGER AG,Austria,AUT,Industrials,Industrial Engineering,93.21,0.397453711183636,2359.843,-3.51652512089857,3.94983903590196,151.784,-2.38217740275777,6.43195331214831,61.4096347441101,183.261,-13.8645133695872,7.7658132341855,739.835328913,-21.9047630580309,12358.0,-2.90697674418605
2024,1685.0,253,REPSOL S.A,Spain,ESP,Energy,Oil & Gas Producers,93.0,4.49438202247191,56713.0,-3.79147723417249,0.163983566378079,4725.0,10.1655397528561,8.33142313049918,1.96825396825397,1943.0,-55.0647548566143,3.42602225239363,13763.759365515,-19.8895404462995,25601.0,2.16289556646315
2024,1686.0,254,HUF HUELSBECK & FUERST GMBH & CO. KG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,92.99376204,5.83205495378281,1148.13090073,9.77554618587757,8.09957836522587,41.12154561,19.4743074881147,3.5816077751983,226.143644798666,36.13709177,897.310681041386,3.14747140304502,,,6094.0,3.83370250468564
2024,1691.0,255,PUMA SE,Germany,DEU,Others,Personal Goods,92.0,3.37078651685393,8817.2,2.04856369065531,1.04341514312934,263.0,-12.4500665778961,2.98280633307626,34.9809885931559,622.0,0.0643500643500607,7.05439368507009,6654.084926411,-12.5683239523262,19599.0,4.91408382848884
2024,1696.0,256,NAVAL GROUP,France,FRA,Aerospace & Defence,Aerospace & Defence,91.8,-12.1531100478469,4354.6,2.28308357213324,2.10811555596381,186.3,16.7293233082707,4.27823451063243,49.2753623188406,297.7,0.57432432432432,6.83644881274973,,,16722.0,2.43185298621746
2024,1732.0,257,NEXANS,France,FRA,ICT producers,Electronic & Electrical Equipment,89.0,0.0,8546.0,9.70474967907574,1.04142288790077,378.0,0.26525198938992,4.42312192838755,23.5449735449735,601.0,56.5104166666667,7.03252983852095,4559.102062475,31.4826459914647,28498.0,-0.00701754385964912
2024,1734.0,258,ELRINGKLINGER AG,Germany,DEU,Automobiles & Parts,Automobiles & Parts,88.687,-2.80344128445395,1803.136,-2.38122049460782,4.91848645914673,108.317,52.1049823063528,6.00714532902676,81.8772676495841,-116.079,-241.129483282675,-6.43761757293959,264.844747324,-24.2067102532139,9078.0,-5.20050125313283
2024,1735.0,259,CIR S.P.A.,Italy,ITA,Industrials,General Industrials,88.513,-21.7440123069306,1821.084,-23.4785926425182,4.86045673895328,104.159,2.11566553269086,5.71961534997836,84.9787344348544,103.791,-30.8000026668978,5.69940760557997,627.277157117,160.208341253608,15054.0,-11.44184952056
